2024-11-09 17:44:05,178 - Method: DELETE, Path: /delete/672f4fa7f1259de41ab1b2cd, Status Code: 500, Response Time: 0.796 seconds, Client IP: 127.0.0.1
2024-11-09 17:44:45,518 - Method: DELETE, Path: /delete/672f4fa7f1259de41ab1b2cd, Status Code: 500, Response Time: 0.944 seconds, Client IP: 127.0.0.1
2024-11-09 17:47:06,464 - Method: POST, Path: /upload/672f3de00be52082ed656534, Status Code: 500, Response Time: 0.934 seconds, Client IP: 127.0.0.1
2024-11-09 17:47:38,009 - Method: POST, Path: /upload/672f4fa7f1259de41ab1b2cd, Status Code: 500, Response Time: 0.842 seconds, Client IP: 127.0.0.1
2024-11-09 17:49:34,460 - Method: POST, Path: /upload/672f4f77f1259de41ab1b2cb, Status Code: 200, Response Time: 0.983 seconds, Client IP: 127.0.0.1
2024-11-09 17:57:53,120 - Method: POST, Path: /login, Status Code: 200, Response Time: 1.475 seconds, Client IP: 127.0.0.1
2024-11-09 17:58:06,728 - Method: GET, Path: /products, Status Code: 401, Response Time: 0.116 seconds, Client IP: 127.0.0.1
2024-11-09 17:58:12,133 - Method: GET, Path: /products, Status Code: 200, Response Time: 0.916 seconds, Client IP: 127.0.0.1
2024-11-09 17:58:47,939 - Method: POST, Path: /add_products, Status Code: 401, Response Time: 0.002 seconds, Client IP: 127.0.0.1
2024-11-09 17:59:07,318 - Method: POST, Path: /add_products, Status Code: 200, Response Time: 0.909 seconds, Client IP: 127.0.0.1
2024-11-09 17:59:37,410 - Method: GET, Path: /list-files, Status Code: 200, Response Time: 0.001 seconds, Client IP: 127.0.0.1
2024-11-09 17:59:53,376 - Method: GET, Path: /download/672f41070be52082ed656546/microsoft, Status Code: 500, Response Time: 0.003 seconds, Client IP: 127.0.0.1
